userPrincipalName,DisplayName,id,Email,givenName,surname,JobTitle,department,employeeType,employeeId,employeeHireDate,officeLocation,city,state,Country,postalCode,companyName,employeeOrgData_division,employeeOrgData_costCenter,accountEnabled,userType,createdDateTime,usageLocation,preferredLanguage,onPremisesSyncEnabled,onPremisesImmutableId,externalUserState,proxyAddresses_Primary,proxyAddresses_Count,proxyAddresses_All,manager_id,manager_displayName,manager_userPrincipalName,manager_mail,manager_jobTitle,ManagerID,BusinessAreaLabel,CountryofEmployment,CompanyCodeLabel,CostCentreLabel,UserName,EffectiveDate,FunctionType,BusinessAreaCode,OrgLevel_3Label,assignedLicenses,HasLicense
vidya.gill@contoso.com,Vidya Gill,3242ea35-5c08-4456-8a68-7eaac3f98aeb,vidya.gill@contoso.com,Vidya,Gill,Network Engineer,IT,Full-Time,EMP42771,2016-09-15T18:38:45Z,London Office,London,England,UK,EC11 6BW,Contoso Corporation,Technology,TECH-IT,True,Member,6/18/2018 12:21:24 PM,GB,en-GB,,,,vidya.gill@contoso.com,1,SMTP:vidya.gill@contoso.com,100acb2a-2c84-40ca-89db-1308d9af0a0c,Fang Zhao,fang.zhao@contoso.com,fang.zhao@contoso.com,IT Manager,100acb2a-2c84-40ca-89db-1308d9af0a0c,Technology,United Kingdom,Contoso Corporation,TECH-IT,vidya.gill,,,,,FLOW_FREE;Microsoft_Intune_Suite;Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_365_Copilot;SPE_E5,TRUE
aishwarya.kapoor@contoso.com,Aishwarya Kapoor,5598ace3-fb2c-49d2-8151-cbeadc6d21f9,aishwarya.kapoor@contoso.com,Aishwarya,Kapoor,Legal Counsel,Legal,Full-Time,E79128,2024-02-01T06:49:06Z,Melbourne Office,Melbourne,Victoria,Australia,2309,Contoso Corporation,Corporate,CORP-LEGAL,True,Member,4/3/2025 11:04:25 PM,AU,en-AU,,,,aishwarya.kapoor@contoso.com,2,SMTP:aishwarya.kapoor@contoso.com; smtp:aishwarya.kapoor@contoso.com,13b4d29a-fe01-4860-9623-81bda16c0489,Finn Coleman,finn.coleman@contoso.com,finn.coleman@contoso.com,Legal Counsel,13b4d29a-fe01-4860-9623-81bda16c0489,Corporate,Australia,Contoso Corporation,CORP-LEGAL,aishwarya.kapoor,,,,,Microsoft_Intune_Suite;Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_365_Copilot;SPE_E5,TRUE
cui.yang@contoso.com,Cui Yang,4e40d8c8-65da-416b-9509-ac50f7010a0a,cui.yang@contoso.com,Cui,Yang,Paralegal,Legal,Full-Time,E84601,2021-09-21T16:13:22Z,Shanghai Office,Shanghai,Shanghai,China,593967,Contoso Corporation,Corporate,CORP-LEGAL,True,Member,12/31/2025 8:31:45 AM,CN,zh-CN,,,,cui.yang@contoso.com,2,SMTP:cui.yang@contoso.com; smtp:cui.yang@contoso.com,d87f3c2e-cb87-4177-93ad-7986e3da299c,Freya Richards,freya.richards@contoso.com,freya.richards@contoso.com,Senior Legal Counsel,d87f3c2e-cb87-4177-93ad-7986e3da299c,Corporate,China,Contoso Corporation,CORP-LEGAL,cui.yang,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
natsuki.sano@contoso.com,Natsuki Sano,1ee86186-cb6c-46fd-8872-f124ea8f511a,natsuki.sano@contoso.com,Natsuki,Sano,Account Executive,Sales,Full-Time,E40995,2016-08-09T00:44:58Z,Nagoya Office,Nagoya,Aichi,Japan,780-6515,Contoso Corporation,Revenue,REV-SALES,True,Member,8/24/2019 9:28:35 AM,JP,ja-JP,,,,natsuki.sano@contoso.com,1,SMTP:natsuki.sano@contoso.com,2e0f50a9-e502-4525-b50a-06f0ae519db3,Aditya Patel,aditya.patel@contoso.com,aditya.patel@contoso.com,Sales Manager,2e0f50a9-e502-4525-b50a-06f0ae519db3,Revenue,Japan,Contoso Corporation,REV-SALES,natsuki.sano,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
xinyi.lin@contoso.com,Xinyi Lin,eb89d031-52fd-4842-8f05-dbe3788d72cc,xinyi.lin@contoso.com,Xinyi,Lin,Support Specialist,Support,Full-Time,E86575,2015-01-06T13:11:14Z,Shenzhen Office,Shenzhen,Guangdong,China,173154,Contoso Corporation,Operations,OPS-SUPPORT,True,Member,3/8/2018 8:26:16 PM,CN,zh-CN,,,,xinyi.lin@contoso.com,2,SMTP:xinyi.lin@contoso.com; smtp:xinyi.lin@contoso.com,fb78da47-0154-43e1-9998-436c17b066ba,Olivia Harris,olivia.harris@contoso.com,olivia.harris@contoso.com,Support Manager,fb78da47-0154-43e1-9998-436c17b066ba,Operations,China,Contoso Corporation,OPS-SUPPORT,xinyi.lin,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
tong.wang@contoso.com,Tong Wang,3e1d4dcd-c0a4-43eb-a1b3-58a17643716e,tong.wang@contoso.com,Tong,Wang,HR Generalist,HR,Full-Time,EMP21251,2016-01-14T07:31:28Z,Manchester Office,Manchester,England,UK,SE15 6RW,Contoso Corporation,Corporate,CORP-HR,True,Member,10/23/2023 4:36:49 PM,GB,en-GB,,,,tong.wang@contoso.com,1,SMTP:tong.wang@contoso.com,522cfacc-255f-4528-93a8-face6a989028,Emi Sugiyama,emi.sugiyama@contoso.com,emi.sugiyama@contoso.com,Director of People,522cfacc-255f-4528-93a8-face6a989028,Corporate,United Kingdom,Contoso Corporation,CORP-HR,tong.wang,,,,,FLOW_FREE;Microsoft_Intune_Suite;Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_365_Copilot;SPE_E5,TRUE
tatiane.fonseca@contoso.com,Tatiane Fonseca,dc8901bc-2220-4957-84ef-3e07a9f34cd7,tatiane.fonseca@contoso.com,Tatiane,Fonseca,Support Engineer,IT,Full-Time,EMP58799,2025-07-22T16:28:16Z,Rio de Janeiro Office,Rio de Janeiro,Rio de Janeiro,Brazil,91726-721,Contoso Corporation,Technology,TECH-IT,True,Member,2/10/2026 1:37:12 AM,BR,pt-BR,,,,tatiane.fonseca@contoso.com,1,SMTP:tatiane.fonseca@contoso.com,1833c974-d220-4073-b117-8e7539679368,Abena Cisse,abena.cisse@contoso.com,abena.cisse@contoso.com,Senior IT Manager,1833c974-d220-4073-b117-8e7539679368,Technology,Brazil,Contoso Corporation,TECH-IT,tatiane.fonseca,,,,,FLOW_FREE;Microsoft_Intune_Suite;Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_365_Copilot;SPE_E5,TRUE
dean.henderson@contoso.com,Dean Henderson,b5d014ca-ce3e-4876-a9ae-e080450fba58,dean.henderson@contoso.com,Dean,Henderson,Customer Support,Support,Full-Time,EMP91894,2025-03-27T18:11:43Z,Bristol Office,Bristol,England,UK,NW6 4SJ,Contoso Corporation,Operations,OPS-SUPPORT,True,Member,4/4/2025 1:22:36 PM,GB,en-GB,True,wLWSytd2R0OVcKvnTSN1mA==,,dean.henderson@contoso.com,1,SMTP:dean.henderson@contoso.com,31e78d2a-87c4-450e-bb3c-de98177dad51,Rashid Sabbagh,rashid.sabbagh@contoso.com,rashid.sabbagh@contoso.com,Support Manager,31e78d2a-87c4-450e-bb3c-de98177dad51,Operations,United Kingdom,Contoso Corporation,OPS-SUPPORT,dean.henderson,,,,,Microsoft_Intune_Suite;Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_365_Copilot;SPE_E5,TRUE
felipe.castro@contoso.com,Felipe Castro,97eccb8b-3138-4cc7-aa34-7222c73a2fb9,felipe.castro@contoso.com,Felipe,Castro,Technical Support,Support,Full-Time,C91830,2019-10-29T14:52:15Z,Berlin Office,Berlin,Berlin,Germany,38468,Contoso Corporation,Operations,OPS-SUPPORT,True,Member,4/5/2022 7:33:34 AM,DE,de-DE,,,,felipe.castro@contoso.com,1,SMTP:felipe.castro@contoso.com,d87b53ec-32b9-4e59-878d-a2bebfcbe5f2,Sabrina Cavalcanti,sabrina.cavalcanti@contoso.com,sabrina.cavalcanti@contoso.com,Director of Support,d87b53ec-32b9-4e59-878d-a2bebfcbe5f2,Operations,Germany,Contoso Corporation,OPS-SUPPORT,felipe.castro,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
babajide.gyasi@contoso.com,Babajide Gyasi,404810fd-b844-4201-a0c2-d359fcfbfa30,babajide.gyasi@contoso.com,Babajide,Gyasi,Systems Administrator,IT,Contractor,E65066,2015-04-14T19:06:00Z,Manchester Office,Manchester,England,UK,EC7 5HL,Contoso Corporation,Technology,TECH-IT,True,Member,2/13/2023 6:38:22 PM,GB,en-GB,,,,babajide.gyasi@contoso.com,2,SMTP:babajide.gyasi@contoso.com; smtp:babajide.gyasi@contoso.com,d548c2fb-eb7b-4496-9d86-571ad3020ecd,Priscila Camargo,priscila.camargo@contoso.com,priscila.camargo@contoso.com,Director of IT,d548c2fb-eb7b-4496-9d86-571ad3020ecd,Technology,United Kingdom,Contoso Corporation,TECH-IT,babajide.gyasi,,,,,Microsoft_365_Copilot;SPE_E5,TRUE
karim.amin@contoso.com,Karim Amin,1261111f-6172-4f4b-82b2-242350b945f6,karim.amin@contoso.com,Karim,Amin,Controller,Finance,Full-Time,E37509,2022-02-12T19:28:35Z,Montreal Office,Montreal,Quebec,Canada,V8T 1B1,Contoso Corporation,Corporate,CORP-FIN,True,Member,1/11/2023 3:06:47 PM,CA,en-CA,,,,karim.amin@contoso.com,2,SMTP:karim.amin@contoso.com; smtp:karim.amin@contoso.com,88ef9a3a-0190-4ad1-98b8-d245cf736d02,Kai Wu,kai.wu@contoso.com,kai.wu@contoso.com,Director of Finance,88ef9a3a-0190-4ad1-98b8-d245cf736d02,Corporate,Canada,Contoso Corporation,CORP-FIN,karim.amin,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
xiaoming.qian@contoso.com,Xiaoming Qian,e84e8965-2b86-4224-a4c2-d49dc080973d,xiaoming.qian@contoso.com,Xiaoming,Qian,Account Executive,Sales,Full-Time,E82868,2023-09-11T10:39:21Z,Toronto Office,Toronto,Ontario,Canada,L0A 7S8,Contoso Corporation,Revenue,REV-SALES,True,Member,8/20/2025 1:29:42 AM,CA,en-CA,,,,xiaoming.qian@contoso.com,1,SMTP:xiaoming.qian@contoso.com,a1484e8d-4aeb-4e15-b31b-74fda5f53eef,Julieta Vega,julieta.vega@contoso.com,julieta.vega@contoso.com,Director of Sales,a1484e8d-4aeb-4e15-b31b-74fda5f53eef,Revenue,Canada,Contoso Corporation,REV-SALES,xiaoming.qian,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
chandan.talwar@contoso.com,Chandan Talwar,eec2f4df-b9a0-4dd3-98a0-80d145fa2458,chandan.talwar@contoso.com,Chandan,Talwar,Systems Administrator,IT,Full-Time,E91291,2017-10-20T04:18:22Z,Berlin Office,Berlin,Berlin,Germany,22058,Contoso Corporation,Technology,TECH-IT,True,Member,6/8/2024 9:54:32 AM,DE,de-DE,,,,chandan.talwar@contoso.com,1,SMTP:chandan.talwar@contoso.com,13d7bd78-886d-4f6b-823f-45eeb486f1c0,Isha Tiwari,isha.tiwari@contoso.com,isha.tiwari@contoso.com,IT Manager,13d7bd78-886d-4f6b-823f-45eeb486f1c0,Technology,Germany,Contoso Corporation,TECH-IT,chandan.talwar,,,,,Microsoft_Intune_Suite;Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_365_Copilot;SPE_E5,TRUE
georgia.merton@contoso.com,Georgia Merton,1f066ee5-fbab-4203-a31a-af7b0d9c15d8,georgia.merton@contoso.com,Georgia,Merton,Content Strategist,Marketing,Contractor,E97221,2017-07-03T23:37:38Z,Melbourne Office,Melbourne,Victoria,Australia,8305,Contoso Corporation,Revenue,REV-MKT,True,Member,7/27/2021 7:39:16 AM,AU,en-AU,,,,georgia.merton@contoso.com,2,SMTP:georgia.merton@contoso.com; smtp:georgia.merton@contoso.com,e101a20c-cd46-4fe1-9e12-eaf5995a1494,Callum Hall,callum.hall@contoso.com,callum.hall@contoso.com,Marketing Manager,e101a20c-cd46-4fe1-9e12-eaf5995a1494,Revenue,Australia,Contoso Corporation,REV-MKT,georgia.merton,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
gabriel.ramos@contoso.com,Gabriel Ramos,57456028-a318-4277-ac8c-467367a406d1,gabriel.ramos@contoso.com,Gabriel,Ramos,HR Generalist,HR,Full-Time,EMP81509,2024-06-15T08:30:18Z,Brasília Office,Brasília,Distrito Federal,Brazil,49534-185,Contoso Corporation,Corporate,CORP-HR,True,Member,1/29/2026 12:09:35 PM,BR,pt-BR,,,,gabriel.ramos@contoso.com,1,SMTP:gabriel.ramos@contoso.com,86cee3bb-ad55-452a-86d9-08454b8e5515,Zoya Pillai,zoya.pillai@contoso.com,zoya.pillai@contoso.com,Senior HR Manager,86cee3bb-ad55-452a-86d9-08454b8e5515,Corporate,Brazil,Contoso Corporation,CORP-HR,gabriel.ramos,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
rachel.parker@contoso.com,Rachel Parker,5a935318-bb84-4ab8-bff5-cfb75f9a2251,rachel.parker@contoso.com,Rachel,Parker,Attorney,Legal,Full-Time,EMP59003,2025-07-17T16:07:30Z,Denver Office,Denver,Colorado,USA,20783,Contoso Corporation,Corporate,CORP-LEGAL,True,Member,7/19/2025 9:47:32 AM,US,en-US,,,,rachel.parker@contoso.com,1,SMTP:rachel.parker@contoso.com,1eace405-aa9f-47b2-8c0d-9eea30be6927,Keqing Dong,keqing.dong@contoso.com,keqing.dong@contoso.com,General Counsel,1eace405-aa9f-47b2-8c0d-9eea30be6927,Corporate,United States,Contoso Corporation,CORP-LEGAL,rachel.parker,,,,,Microsoft_365_Copilot;SPE_E5,TRUE
girish.trivedi@contoso.com,Girish Trivedi,3148d21e-79ef-4000-8d27-114db2130924,girish.trivedi@contoso.com,Girish,Trivedi,Support Specialist,Support,Full-Time,EMP32107,2017-10-24T09:50:31Z,Hyderabad Office,Hyderabad,Telangana,India,547100,Contoso Corporation,Operations,OPS-SUPPORT,True,Member,10/24/2022 12:47:17 PM,IN,en-IN,,,,,0,,cba57a7e-d5dc-4310-acfd-9cdb9ee6ea3e,Chao Duan,chao.duan@contoso.com,chao.duan@contoso.com,Director of Support,cba57a7e-d5dc-4310-acfd-9cdb9ee6ea3e,Operations,India,Contoso Corporation,OPS-SUPPORT,girish.trivedi,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
elodie.leclerc@contoso.com,Elodie Leclerc,9663a976-8a5d-4c36-be6d-aed17ab06103,elodie.leclerc@contoso.com,Elodie,Leclerc,Paralegal,Legal,Full-Time,EMP41893,2018-12-08T18:23:28Z,Hamburg Office,Hamburg,Hamburg,Germany,65389,Contoso Corporation,Corporate,CORP-LEGAL,True,Member,2/21/2026 1:09:19 AM,DE,de-DE,,,,elodie.leclerc@contoso.com,2,SMTP:elodie.leclerc@contoso.com; smtp:elodie.leclerc@contoso.com,16d9f7ad-c2f1-48f3-9b02-a7b57cbefb41,Lucas Dias,lucas.dias@contoso.com,lucas.dias@contoso.com,Senior Legal Counsel,16d9f7ad-c2f1-48f3-9b02-a7b57cbefb41,Corporate,Germany,Contoso Corporation,CORP-LEGAL,elodie.leclerc,,,,,FLOW_FREE;Microsoft_Intune_Suite;Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_365_Copilot;SPE_E5,TRUE
yui.yoshida@contoso.com,Yui Yoshida,fc3ee14e-edfd-40bf-9cb5-ccca1d87fe30,yui.yoshida@contoso.com,Yui,Yoshida,SEO Specialist,Marketing,Full-Time,C93769,2024-12-02T19:27:53Z,Nagoya Office,Nagoya,Aichi,Japan,828-1290,Contoso Corporation,Revenue,REV-MKT,True,Member,10/8/2025 7:48:51 AM,JP,ja-JP,,,,yui.yoshida@contoso.com,1,SMTP:yui.yoshida@contoso.com,95d4dfcd-aeca-4339-9736-62db528ac890,Khalid Tahan,khalid.tahan@contoso.com,khalid.tahan@contoso.com,Senior Marketing Manager,95d4dfcd-aeca-4339-9736-62db528ac890,Revenue,Japan,Contoso Corporation,REV-MKT,yui.yoshida,,,,,Microsoft_Intune_Suite;Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_365_Copilot;SPE_E5,TRUE
faith.grant@contoso.com,Faith Grant,0ef02274-df97-4a5a-bd13-4ebe18c36949,faith.grant@contoso.com,Faith,Grant,SEO Specialist,Marketing,Full-Time,C31395,2019-08-31T05:10:18Z,Sydney Office,Sydney,New South Wales,Australia,7860,Contoso Corporation,Revenue,REV-MKT,True,Member,2/10/2024 12:32:02 AM,AU,en-AU,,,,faith.grant@contoso.com,1,SMTP:faith.grant@contoso.com,3196de69-2ea1-4bcb-8ad4-c69858473037,Raquel Siqueira,raquel.siqueira@contoso.com,raquel.siqueira@contoso.com,Director of Marketing,3196de69-2ea1-4bcb-8ad4-c69858473037,Revenue,Australia,Contoso Corporation,REV-MKT,faith.grant,,,,,Microsoft_Intune_Suite;Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_365_Copilot;SPE_E5,TRUE
skye.henderson@contoso.com,Skye Henderson,33c1477f-35af-442e-8cb4-3ed0915b31d6,skye.henderson@contoso.com,Skye,Henderson,Systems Administrator,IT,Full-Time,EMP30160,2023-06-27T23:35:28Z,São Paulo Office,São Paulo,São Paulo,Brazil,52768-490,Contoso Corporation,Technology,TECH-IT,True,Member,2/15/2026 2:01:47 PM,BR,pt-BR,,,,skye.henderson@contoso.com,1,SMTP:skye.henderson@contoso.com,ab341288-54b7-486a-ac68-e891d8243013,Jai Prasad,jai.prasad@contoso.com,jai.prasad@contoso.com,IT Manager,ab341288-54b7-486a-ac68-e891d8243013,Technology,Brazil,Contoso Corporation,TECH-IT,skye.henderson,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
